"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H3,H2,H1";"MountingHole_2.2mm_M2";3;"MountingHole";;;
2;"C11,C10";"C_0603_1608Metric";2;"10uF";;;
3;"J1";"USB_Micro-B_Amphenol_10103594-0001LF_Horizontal";1;"USB_B_Micro";;;
4;"Q1";"ALS-PT19";1;"Q_Photo_NPN";;;
5;"SW2,SW1";"D3SH";2;"SW_Push";;;
6;"D1";"D_SOD-123";1;"1N5819";;;
7;"U2";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm";1;"93LCxxB";;;
8;"C1,C2,C3,C5,C7,C8,C9";"C_0603_1608Metric";7;"0.1uF";;;
9;"C4,C6";"C_0603_1608Metric";2;"27pF";;;
10;"JP1,JP2";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";2;"reset";;;
11;"R1,R2,R3,R4,R6,R9";"R_0603_1608Metric";6;"10k";;;
12;"R7";"R_0603_1608Metric";1;"2k";;;
13;"R8";"R_0603_1608Metric";1;"12k";;;
14;"R10";"R_0603_1608Metric";1;"39k";;;
15;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM-32D";;;
16;"U3";"LQFP-48-1EP_7x7mm_P0.5mm_EP3.6x3.6mm";1;"FT232H";;;
17;"U4";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
18;"Y1";"Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm";1;"12MHz";;;
